naslov,avtor,tip_oddaje,datum
Izlet po ljubljanskih skejt spotih,RKHV Vajenke,Kulturni obzornik,15. 3. 2023 – 15.10
Ambivalentnost bližine in razhajanja,RKHV Vajenke,Teater v eter,15. 3. 2023 – 13.30
Slacker,Michael C. Jumic,Leteči pilot,14. 3. 2023 – 21.00
Tudi osli so ljudje,RKHV Vajenke,Kinobar,14. 3. 2023 – 17.00
Po poteh gregorčkov,RKHV Vajenke,Kulturni obzornik,14. 3. 2023 – 13.30
Preprost ustvarjalni problem,Valerija Intihar,R A D A R,13. 3. 2023 – 23.00
"Več kot človeško gledališče, kako ga ustvarjati?",Iva Slosar,Teritorij teatra,13. 3. 2023 – 20.00
Jadran potem,Valerija Intihar,Cikel Jugofuturizem,13. 3. 2023 – 20.00
Ulična lekcija lajfa,Taja Lesjak Šilak,Kosilo nekega molja,13. 3. 2023 – 13.00
Od hipija do japija – 2. del,Martin Pečan,Repetitio,12. 3. 2023 – 20.00
O Smiljanićevih zgodovinskih stripih,Pia Nikolič,Stripofilija,12. 3. 2023 – 18.00
Bi ne bi,Kulturno uredništvo,Odprti termin za kulturo,11. 3. 2023 – 23.00
Variacije mezdnega odnosa,Tibor Suša,Humanistika,10. 3. 2023 – 13.30
Show 936: disembodied paths by Joana de Sá (Rádiozero),Kulturno uredništvo,Radia Network,9. 3. 2023 – 22.30
Z gesto nad patriarhat,Iva Slosar,Teater v eter,9. 3. 2023 – 13.30
Usaka rwža jma trn,Hana Samec Sekereš,Kulturni obzornik,8. 3. 2023 – 15.10
VSE V ŠTRAJK!,Anonymous,Odprti termin za kulturo,8. 3. 2023 – 13.00
Pot v pekel je tlakovana z dobro muziko,Mato Žgajner,Pritiskavec Gold,7. 3. 2023 – 21.00
Jutri bo 8. marec,Neja Berger,Dlako z jezika,7. 3. 2023 – 18.00
200. številka Kraljev ulice,RKHV Vajenke,Kulturni obzornik,7. 3. 2023 – 13.30
Nizanja začasnosti,Lucija Klauž,Art-area,6. 3. 2023 – 23.00
"Novi kanon, drugič",Matjaž Zorec,Literarni incest,6. 3. 2023 – 20.00
Jaz = jaz itn.,Marko Miočić,Humanistika,6. 3. 2023 – 13.30
Brazilsko ogrevanje I: Luiz Ruffato,Anja Zidar,Tu pa tam,5. 3. 2023 – 18.00
Pravopisne novice,Marko Miočić,Kulturni obzornik,3. 3. 2023 – 13.00
"Show 935: Can we talk, dear AI? (by Chuse Fernandez, TEA FM Radio Workshop)",Kulturno uredništvo,Radia Network,2. 3. 2023 – 22.30
Feminizem brez aktivizma,Lucija Ivanuša,Sektor Ž,2. 3. 2023 – 21.30
Trinajst avgustov za strežbo,Andrea Zabric,Kosilo nekega molja,2. 3. 2023 – 13.30
Padec NOT skozi čas,RKHV Vajenke,Kulturni obzornik,1. 3. 2023 – 15.10
"»Ne vem, đumbus od sanj«",Nika Gradišek,Kosilo nekega molja,1. 3. 2023 – 13.30
Betta listen,Michael C. Jumic,Leteči pilot,28. 2. 2023 – 21.00
"Samo, kar je človeško, je lahko res tuje",RKHV Vajenke,Kosilo nekega molja,28. 2. 2023 – 17.00
"JAK, jači, Mladinska knjiga",RKHV Vajenke,Kulturni obzornik,28. 2. 2023 – 13.30
Iz naftalina v Humano,Lucija Klauž,Objekt meseca,27. 2. 2023 – 23.00
Modernizem v transu,Urška Škerl,Tipologije prostora,27. 2. 2023 – 20.00
"Zasije naj sonce, svet pripada nam",RKHV Vajenke,Kosilo nekega molja,27. 2. 2023 – 13.00
Poglabljanje v Opus1,Samo Oleami,Ulična kritika,26. 2. 2023 – 18.00
Rok Žnidaršič,Pavel Lipovšek,Urbi et orbi,25. 2. 2023 – 15.00
Ko od božiča do pepelnice ni porok,Minka Jerala,Kulturni obzornik,24. 2. 2023 – 13.30
Show 934: SONIC COLLECTIVITY by Trashkot (Guest Slot),Kulturno uredništvo,Radia Network,23. 2. 2023 – 22.30
Kako dolgo bo struna še zvenela?,RKHV Vajenke,Striptiz,23. 2. 2023 – 13.30
Kam z mlado ilustracijo in grafiko,RKHV Vajenke,Kulturni obzornik,22. 2. 2023 – 15.10
"Čisto, čisto tiho",Matija Pušnik,Humanistika,22. 2. 2023 – 13.30
Rdeči sitotisk,Neža Urbiha,Kulturni obzornik,21. 2. 2023 – 13.30
The Mountains Win,William Blomstedt,Tube(son),20. 2. 2023 – 23.00
Ob filmih Eme Kugler,Oskar Ban Brejc,Temna zvezda,20. 2. 2023 – 20.00
Ciklična sestopanja,Lucija Klauž,Kosilo nekega molja,20. 2. 2023 – 13.30
Zbirka štrlečih samorastnikov,Andrea Zabric,Subjekt meseca,19. 2. 2023 – 20.00
Severnoatlantsko drsenje: Sólrún Michelsen,Lara Pustinek Miočić,Tu pa tam,19. 2. 2023 – 18.00
Žbam bum mladostniške energije,RKHV Vajenke,Kulturni obzornik,17. 2. 2023 – 13.00
"Show 933: LOOP liminal (Wiener Radia Kollektiv, Radio Orange 94.0)",Kulturno uredništvo,Radia Network,16. 2. 2023 – 22.30
"Kaj, je razneslo cev? – Ne cev, Jugo je razneslo.",RKHV Vajenke,Striptiz,16. 2. 2023 – 13.30
Po trnovi poti do 10. obletnice,RKHV Vajenke,Kulturni obzornik,15. 2. 2023 – 15.15
Ljubezen ima svojo ceno,Brina Jerko,Teater v eter,15. 2. 2023 – 13.30
A motorcyle movie,Michael C. Jumic,Leteči pilot,14. 2. 2023 – 21.00
Pogled v prihodnost,RKHV Vajenke,Kulturni obzornik,14. 2. 2023 – 13.30
Plesna plesen,Tina Tomšič,R A D A R,13. 2. 2023 – 23.00
"Več kot človeško gledališče, kaj je to?",Iva Slosar,Teritorij teatra,13. 2. 2023 – 20.00
A tvoj Jakopič je pa z Bolhe?,Neža Vengust,Fine umetnosti,13. 2. 2023 – 13.30
Od hipija do japija – 1. del,Martin Pečan,Repetitio,12. 2. 2023 – 20.00
Na dopust in domov,Pia Nikolič,Stripofilija,12. 2. 2023 – 18.00
Ste videli Atlas?,Oskar Ban Brejc,Kulturni obzornik,10. 2. 2023 – 13.30
"Umetna inteligenca, antidelavska mašinerija",Valerija Intihar,Fine umetnosti,9. 2. 2023 – 13.00
Nadvse kulturen škandal,Martin Pečan,Kulturni obzornik,8. 2. 2023 – 15.10
Spolzkost spolskosti,Metod Zupan,Humanistika,8. 2. 2023 – 13.00
Fontana iz kužkov,Mato Žgajner,Pritiskavec Gold,7. 2. 2023 – 21.00
Pomembna gesta,Vid Bešter,Kulturni obzornik,7. 2. 2023 – 13.30
Novi kanon,Matjaž Zorec,Literarni incest,6. 2. 2023 – 20.00
Odtenki tujstva,RKHV Vajenke,Kosilo nekega molja,6. 2. 2023 – 13.30
Severnoatlantsko drsenje: Jóanes Nielsen,Lara Pustinek Miočić,Tu pa tam,5. 2. 2023 – 18.00
Center Rotovž,RKHV Vajenke,Kulturni obzornik,3. 2. 2023 – 13.30
Show 931: In and Out & In-Between by Elen Huynh for *Duuu,Kulturno uredništvo,Radia Network,2. 2. 2023 – 22.30
O pravičnostih in ljubeznih,Nina Pernat,Sektor Ž,2. 2. 2023 – 21.30
Subliminalna samokritika,Matjaž Zorec,Teater v eter,2. 2. 2023 – 13.30
Za kulturne domove!,Vid Bešter,Kulturni obzornik,1. 2. 2023 – 15.10
Kar ne mine in ne mine,Lenart Sušnik,Kinobar,1. 2. 2023 – 13.30
The birth of cool,Michael C. Jumic,Leteči pilot,31. 1. 2023 – 21.00
Preporod treh dialoških skupin,Neža Vengust,Kulturni obzornik,31. 1. 2023 – 13.30
Podzemni tok New Agea v Jugoslaviji,Urška Škerl,Cikel Jugofuturizem,30. 1. 2023 – 20.00
spodrsljaji na spolzkem terenu uprizoritvenih formatov,RKHV Vajenke,Teater v eter,30. 1. 2023 – 13.30
"Matija Gubec je mrtev, naj živi Matija Gubec!",Jaka Virant,Repetitio,29. 1. 2023 – 20.00
Med kritičarko in umetnico,Samo Oleami,Ulična kritika,29. 1. 2023 – 18.00
Janez Koželj,Pavel Lipovšek,Urbi et orbi,28. 1. 2023 – 15.00
Kaj veste o drogah,Anonymous,Špajza RŠ,28. 1. 2023 – 12.00
Dedek gre na divji Jug,Muanis Sinanović,Dlako z jezika,27. 1. 2023 – 13.30
Show 930: Red Forest Radiogram – Runaway Noosphere by reboot.fm,Kulturno uredništvo,Radia Network,26. 1. 2023 – 22.30
90s hitiči v Kinoteki,RKHV Vajenke,Kinobar,26. 1. 2023 – 13.30
»Nazaj ne gremo več«,Brina Jerko,Kulturni obzornik,25. 1. 2023 – 15.10
Time to BeReal,RKHV Vajenke,Teater v eter,25. 1. 2023 – 13.30
Jaki Frankfurt 2023,RKHV Vajenke,Kulturni obzornik,24. 1. 2023 – 13.30
Radiotelevizija arhitektura,Blaž Šenica,Hertz arhitektur,23. 1. 2023 – 20.00
"Ščegetanja, zasloni in samota",Andrea Zabric,Fine umetnosti,23. 1. 2023 – 13.30
"Asta Vrečko, ministrica za kulturo, drugi del",Tina Tomšič,Subjekt meseca,22. 1. 2023 – 20.00
Imamo sploh še kakšno šanso?,Marko Miočić,Kulturni obzornik,20. 1. 2023 – 13.00
Show 929: UNTIME THERAPY – THE ART OF DETUNING by TBC RADIO,Kulturno uredništvo,Radia Network,19. 1. 2023 – 22.30
NOŽKI SKOZ TELO,Špela Setničar,Kosilo nekega molja,19. 1. 2023 – 13.30
Pregled odprtih literarnih natečajev,Tibor Suša,Kulturni obzornik,18. 1. 2023 – 15.10
Povezani v bolečini,Tina Tomšič,Kinobar,18. 1. 2023 – 13.30
Pogovor: Gáspár Miklós Tamás,Kulturno uredništvo,Špajza RŠ,18. 1. 2023 – 12.00
Substratum,Michael C. Jumic,Leteči pilot,17. 1. 2023 – 21.00
PRMEJDUNEJ 3: Basquiat v Albertini,Anže Okorn,Pisma iz tujine,17. 1. 2023 – 17.00
Rejništvo dvojčkov Kulturnik.si in Culture.si,RKHV Vajenke,Kulturni obzornik,17. 1. 2023 – 13.30
Keep it Simple,William Blomstedt,Tube(son),16. 1. 2023 – 23.00
20. obletnica Temne zvezde,Lenart Sušnik,Temna zvezda,16. 1. 2023 – 20.00
Reševanje vojaka Sellarsa,Matija Pušnik,Kosilo nekega molja,16. 1. 2023 – 13.30
"Asta Vrečko, ministrica za kulturo, prvi del",Tina Tomšič,Subjekt meseca,15. 1. 2023 – 20.00
Od Koroške do Krasa,Pia Nikolič,Stripofilija,15. 1. 2023 – 18.00
Beremo Afrike,Brina Jerko,Kulturni obzornik,13. 1. 2023 – 13.30
"Show 928: No Ground, by Jennifer Callaway",Kulturno uredništvo,Radia Network,12. 1. 2023 – 22.30
Kaj veste o drogah,Anonymous,Špajza RŠ,12. 1. 2023 – 21.30
Zjebani in nabildani monologi v Cukrarni,Iva Slosar,Teater v eter,12. 1. 2023 – 13.30
Kdo je sploh lahko direktor javnih zavodov?,Neža Vengust,Kulturni obzornik,11. 1. 2023 – 15.10
Kaj prinaša 2023?,Mato Žgajner,Pritiskavec Gold,10. 1. 2023 – 21.00
Dogodek v mestu miru,RKHV Vajenke,Kulturni obzornik,10. 1. 2023 – 13.30
Suha potica,Urška Savič,R A D A R,9. 1. 2023 – 23.00
Razvozlavanje malih umetnosti,Metod Zupan,Teritorij teatra,9. 1. 2023 – 20.00
Voda še za v čevelj ni dobra,Matjaž Zorec,Kinobar,9. 1. 2023 – 13.30
Dileme vsega živega,Valerija Intihar,Objekt meseca,8. 1. 2023 – 20.00
Nova španska proza IV: Elvira Navarro,Anja Zidar,Tu pa tam,8. 1. 2023 – 18.00
Kaj veste o drogah,Anonymous,Špajza RŠ,7. 1. 2023 – 12.00
»Potopicu ovaj splav«,Tina Tomšič,Kulturni obzornik,6. 1. 2023 – 15.10
Show 927: Mini Disc by ∏node,Kulturno uredništvo,Radia Network,5. 1. 2023 – 22.30
Feministke: partikularne deliteljice delavskega boja,Lucija Ivanuša,Sektor Ž,5. 1. 2023 – 21.30
Pod kožo smo vse črne,Tina Tomšič,Kosilo nekega molja,5. 1. 2023 – 13.30
Kaj bomo brali v 2023,Martin Pečan,Kulturni obzornik,4. 1. 2023 – 15.10
Umetnost brez meja,Pia Nikolič,Striptiz,4. 1. 2023 – 13.30
We're like crystal,Michael C. Jumic,Leteči pilot,3. 1. 2023 – 21.00
Ognjemet!,Vid Bešter,Kulturni obzornik,3. 1. 2023 – 17.00
Ko umetnost pridiga,Neža Urbiha,Art-area,2. 1. 2023 – 23.00
Družbenost osamljenosti,Matjaž Zorec,Literarni incest,2. 1. 2023 – 20.00
Nosferatu,Matija Pušnik,Dlako z jezika,2. 1. 2023 – 13.30
Letina gledališke sezone 2022,Samo Oleami,Ulična kritika,1. 1. 2023 – 18.00
"Šta bude, bude",Lenart Sušnik,Kulturni obzornik,30. 12. 2022 – 15.10
Peder v Tel Avivu,Matija Pohorec,Pisma iz tujine,30. 12. 2022 – 13.30
Show 926: Iolanda mi nant de nòmini (Usmaradio),Kulturno uredništvo,Radia Network,29. 12. 2022 – 22.30
"Skrinjica, odpri se",Brina Jerko,Kulturni obzornik,29. 12. 2022 – 15.10
"Važno je, da si srečen, tudi če tipkaš na pisalni stroj.",Samo Oleami,Kosilo nekega molja,29. 12. 2022 – 13.15
Natečaj za izvirno dramsko besedilo,Martin Pečan,Kulturni obzornik,28. 12. 2022 – 15.10
"»Ogreješ me, nato pa me trpinčiš«",Metod Zupan,Kinobar,28. 12. 2022 – 13.30
Kaj je kultura 2022,Valerija Intihar,Kulturni obzornik,27. 12. 2022 – 15.15
"Dajte mi vaše utrujene, vaše obubožane …",Matija Pušnik,Humanistika,27. 12. 2022 – 13.30
Reverse migration,Urška Škerl,Tipologije prostora,26. 12. 2022 – 20.00
Dekliška vojna,Brina Jerko,Teater v eter,26. 12. 2022 – 13.30
Z Božičkom na grmado?,Minka Jerala,Repetitio,25. 12. 2022 – 20.00
Nova španska proza III: Alejandro Morellón,Anja Zidar,Tu pa tam,25. 12. 2022 – 18.00
V iskanju izgubljenega kuhančka,RKHV Vajenke,Kulturni obzornik,23. 12. 2022 – 15.10
En kratek trenutek vsega,Maja Pongrac,Striptiz,23. 12. 2022 – 13.30
Radia Show 925: À table! by Radio ARA,Kulturno uredništvo,Radia Network,22. 12. 2022 – 22.30
Eksperiment praznovanja solsticija,Andrea Zabric,Kulturni obzornik,22. 12. 2022 – 15.15
»Vi ste morilec!«,Matjaž Zorec,Kosilo nekega molja,22. 12. 2022 – 13.30
Pogovor o 38. Festivalu LGBT Filma,Oskar Ban Brejc,Temna zvezda,21. 12. 2022 – 18.00
Prisluškovanje oblásti,Marko Miočić,Humanistika,21. 12. 2022 – 13.30
Die Hard is an end of history movie,Michael C. Jumic,Leteči pilot,20. 12. 2022 – 21.00
Pogled s čela EPK 2025,Martin Pečan,Kulturni obzornik,20. 12. 2022 – 15.10
"Vez sveta, ki iz enega naredi dva",Jaka Bombac,Humanistika,20. 12. 2022 – 13.30
prayers up,William Blomstedt,Tube(son),20. 12. 2022 – 0.05
Revizija filmskega leta 2022,Oskar Ban Brejc,Temna zvezda,19. 12. 2022 – 20.00
Pogovoriti se moramo o lokalnem,Valerija Intihar,Kulturni obzornik,19. 12. 2022 – 15.15
Sprehod po performativnem gozdu,Samo Oleami,Teater v eter,19. 12. 2022 – 13.30
"Ne peti, rjoveti!",Matjaž Zorec,Špajza RŠ,18. 12. 2022 – 20.00
Razburkani (festi)vali,Pia Nikolič,Stripofilija,18. 12. 2022 – 18.00
"Moje ulice, tridesetič: Boris kuhar",Špela Frlic,Špajza RŠ,17. 12. 2022 – 12.00
Za stripovske navdušence,Brina Jerko,Kulturni obzornik,16. 12. 2022 – 15.10
Zgodba o ribi in ptici,Maja Pongrac,Kinobar,16. 12. 2022 – 13.30
Show 924: Ritmi Rurali by Radio Papesse,Kulturno uredništvo,Radia Network,15. 12. 2022 – 22.30
"Gradonačelnik, can we have Plečnik in Celje?",Marja Zakelšek,Kulturni obzornik,15. 12. 2022 – 15.10
Animirana in posneta resničnost,Oskar Ban Brejc,Kinobar,15. 12. 2022 – 13.30
Poilustrirani sejem,Neža Vengust,Kulturni obzornik,14. 12. 2022 – 15.10
Alpski privid,Minka Jerala,Kinobar,14. 12. 2022 – 13.30
Umori na podeželju,Mato Žgajner,Pritiskavec Gold,13. 12. 2022 – 21.00
"Pesem, boginja, zapoj o lidijski tkalki",Lara Pustinek Miočić,Kulturni obzornik,13. 12. 2022 – 15.10
Megla na ducate,Lucija Klauž,Kinobar,13. 12. 2022 – 13.10
MEGA RADAR,Urška Savič,R A D A R,12. 12. 2022 – 23.00
"In, kaj zdaj?",Metod Zupan,Teritorij teatra,12. 12. 2022 – 20.00
Oprijemljivo o neizrekljivem,Metod Zupan,Kulturni obzornik,12. 12. 2022 – 15.10
Izpisati sebe,Anja Zidar,Kosilo nekega molja,12. 12. 2022 – 13.30
Suzana Tratnik in Miha Satler,Pia Nikolič,Subjekt meseca,12. 12. 2022 – 10.10
Oče neoevrazijanizma,Matej Trontelj,Teorema,11. 12. 2022 – 20.00
Nova španska proza II: Cristina Morales,Anja Zidar,Tu pa tam,11. 12. 2022 – 18.00
Ne le muza in Meduza,Minka Jerala,Kulturni obzornik,9. 12. 2022 – 15.10
Kako je Krtek premagal morskega psa in prekletstvo Tunela?,Metod Zupan,Teater v eter,9. 12. 2022 – 13.30
Show 923: Voices in my Head by Floy Krouchi (radioart106),Kulturno uredništvo,Radia Network,8. 12. 2022 – 22.30
Delo Marka A. Kovačiča,Oskar Ban Brejc,Kulturni obzornik,8. 12. 2022 – 15.15
Jakše-Ficko-landija,Neža Vengust,Fine umetnosti,8. 12. 2022 – 13.30
Šišenski bling,Valerija Intihar,Kulturni obzornik,7. 12. 2022 – 15.15
Saj ni bilo tako hudo,Tina Tomšič,Humanistika,7. 12. 2022 – 13.30
Get in loser,Michael C. Jumic,Leteči pilot,6. 12. 2022 – 21.00
Podčrtavanje bivanja,Lucija Klauž,Art-area,5. 12. 2022 – 23.00
Tuje jezikanje. V domači šprahi,Matjaž Zorec,Literarni incest,5. 12. 2022 – 20.00
JugoSloGanska naveza,Valerija Intihar,Kulturni obzornik,5. 12. 2022 – 15.20
Pasja žalost,Tibor Suša,Kosilo nekega molja,5. 12. 2022 – 13.30
Potencial golega odra – drugič,Samo Oleami,Ulična kritika,4. 12. 2022 – 18.00
"Moje ulice, devetindvajsetič: Matija Barl",Špela Frlic,Špajza RŠ,3. 12. 2022 – 12.00
"O telesu, onkraj telesa",Maja Pongrac,Kulturni obzornik,2. 12. 2022 – 15.10
Novembrske podobe,Samo Oleami,Teater v eter,2. 12. 2022 – 13.30
Show 922: The Weekly Dream Report Omnibus by Hethre Contant and Jon Panther for 107Diffusion.,Kulturno uredništvo,Radia Network,1. 12. 2022 – 22.30
Eklektični decembrski uvidi,Nina Pernat,Sektor Ž,1. 12. 2022 – 21.30
Xenojaslice,Tibor Suša,Kulturni obzornik,1. 12. 2022 – 15.10
Apel za Jezdeca,Lenart Sušnik,Kinobar,1. 12. 2022 – 13.30
V soju odrskih luči,Brina Jerko,Kulturni obzornik,30. 11. 2022 – 15.10
Čisto tiho lomljenje kosti,Nika Gradišek,Kosilo nekega molja,30. 11. 2022 – 13.30
Strumno stoječi Lueger,Andrea Zabric,Kulturni obzornik,29. 11. 2022 – 15.10
Bližje,Špela Setničar,Kinobar,29. 11. 2022 – 13.30
"»Sej, kaj paj to kej tazga?«",Metod Zupan,Repetitio,28. 11. 2022 – 23.00
Žargon iskrenosti,Blaž Šenica,Hertz arhitektur,28. 11. 2022 – 20.00
Ljubljanske lučke 2k22,Neža Vengust,Kulturni obzornik,28. 11. 2022 – 15.10
VRTENJE JEZIKA MIMO SLIK,Andrea Zabric,Fine umetnosti,28. 11. 2022 – 13.30
Kako se je gradil Cankarjev dom?,Vid Bešter,Destilator,27. 11. 2022 – 20.00
Nova španska proza I: Andrea Abreu,Anja Zidar,Tu pa tam,27. 11. 2022 – 18.00
Spodnja Šiška: Pušelc Ljubljane,Pavel Lipovšek,Urbi et orbi,26. 11. 2022 – 15.00
Na Slovenskem knjižnem sejmu podelitev dveh literarnih nagrad,Martin Pečan,Kulturni obzornik,25. 11. 2022 – 15.10
Glagol nastajanja,Iva Slosar,Teater v eter,25. 11. 2022 – 13.30
Show 921: TZUSSS (Radio Student),Kulturno uredništvo,Radia Network,24. 11. 2022 – 22.30
Organiziranje po hrvaško,Iva Slosar,Kulturni obzornik,24. 11. 2022 – 15.10
"Jao, spet ta globoka država",Matej Trontelj,Humanistika,24. 11. 2022 – 13.30
Afera Gospodarc,Tibor Suša,Kulturni obzornik,23. 11. 2022 – 18.00
Skica nemirnega časa,Jaka Bombac,Kinobar,23. 11. 2022 – 13.30
Popular demand,Michael C. Jumic,Leteči pilot,22. 11. 2022 – 21.00
Vzponi in izzivi slovenskega animiranega filma,Jaka Bombac,Kulturni obzornik,22. 11. 2022 – 15.10
Spektakelski žulj novega kralja,Matija Pohorec,Serijski motrilci,22. 11. 2022 – 13.30
WHITE,William Blomstedt,Tube(son),21. 11. 2022 – 23.00
"Telo, arhitektura in tehnologija Davida Cronenberga",Oskar Ban Brejc,Temna zvezda,21. 11. 2022 – 20.00
PERFORMIRATI RAZSTAVO,Neža Urbiha,Kulturni obzornik,21. 11. 2022 – 15.10
PRESTAVLJANJE KVADROV,Samo Oleami,Teater v eter,21. 11. 2022 – 13.30
"Francija, Italija, Prekmurje",Pia Nikolič,Stripofilija,20. 11. 2022 – 18.00
"Moje ulice, osemindvajsetič: Aleksander Bassin",Špela Frlic,Špajza RŠ,19. 11. 2022 – 12.00
Srečevanja in razhajanja umetnosti vzhodne Evrope,Lucija Klauž,Kulturni obzornik,18. 11. 2022 – 15.10
AI TVOJ NOV SLOVENCEM VENEC VIJE,Neža Urbiha,Fine umetnosti,18. 11. 2022 – 13.30
"Show 920: Co-regulating the spectrum: Meanwhile, the wave by José Alejandro Rivera (proxemia) for Wave Farm",Kulturno uredništvo,Radia Network,17. 11. 2022 – 22.30
Zajtrk v PLAC-u,Martin Pečan,Kulturni obzornik,17. 11. 2022 – 15.10
"Tisto, ko si feministka, ker imaš karkoli povedati",Nika Gradišek,Kosilo nekega molja,17. 11. 2022 – 13.30
Od skupnega do WTF-jev,Neja Berger,Subjekt meseca,16. 11. 2022 – 18.00
Participatorno dialogiziranje,Neža Vengust,Kulturni obzornik,16. 11. 2022 – 15.10
Ozemljitev ljudi,Anja Zidar,Kosilo nekega molja,16. 11. 2022 – 13.30
Zapuščina Tončka Sokolovega,Mato Žgajner,Pritiskavec Gold,15. 11. 2022 – 21.00
Žene v testu: ob kavi,Lara Pustinek Miočić,Kulturni obzornik,15. 11. 2022 – 15.10
Razsvetljeno vraževerje,Minka Jerala,Humanistika,15. 11. 2022 – 13.30
TZUSSS v etru,Urška Savič,R A D A R,14. 11. 2022 – 23.00
Doba razmislekov in vmesnikov,Metod Zupan,Teritorij teatra,14. 11. 2022 – 20.00
Začetki Avtonomne tovarne Rog,Martin Pečan,Kulturni obzornik,14. 11. 2022 – 15.10
P(l)asti predstavljanja prihodnosti,Jaka Bombac,Kosilo nekega molja,14. 11. 2022 – 13.30
"Kjer je volja, je pot",Matija Pušnik,Objekt meseca,13. 11. 2022 – 20.00
Sodobna južnoafriška proza IV: Zoë Wicomb,Anja Zidar,Tu pa tam,13. 11. 2022 – 18.00
Čas za branje,Lucija Klauž,Kulturni obzornik,11. 11. 2022 – 15.10
The Pr' Hostar Phenomena,Lenart Sušnik,Kinobar,11. 11. 2022 – 13.30
Show 919: Symphony for a city (Radio Panik),Kulturno uredništvo,Radia Network,10. 11. 2022 – 22.30
"Moje ulice, sedemindvajsetič: Pavle Jakopič",Špela Frlic,Špajza RŠ,10. 11. 2022 – 21.30
O 25. Festivalu slovenskega filma z Robertom Kuretom!,Lenart Sušnik,Temna zvezda,10. 11. 2022 – 18.00
V rajskih gosteh britanske ekskluzivnosti,Matija Pohorec,Pisma iz tujine,10. 11. 2022 – 13.30
Ereš zavije med revije,Martin Pečan,Kulturni obzornik,9. 11. 2022 – 15.10
"Tonemo, tovariši, tonemo",Tina Tomšič,Dlako z jezika,9. 11. 2022 – 13.30
The European,Michael C. Jumic,Leteči pilot,8. 11. 2022 – 21.00
Romi v literaturi in romska literatura,Minka Jerala,Kulturni obzornik,8. 11. 2022 – 15.10
"POETIKA OD SPODAJ, MANIFEST OD ZGORAJ",Tibor Suša,Humanistika,8. 11. 2022 – 13.30
Smeri prepiha,Valerija Intihar,Art-area,7. 11. 2022 – 23.00
Vizualije Solarisa,Matjaž Zorec,Literarni incest,7. 11. 2022 – 20.00
Hitra vest iz 25. Festivala slovenskega filma,Lenart Sušnik,Kulturni obzornik,7. 11. 2022 – 15.10
Fevdi enaindvajsetega stoletja,Jaka Bombac,Repetitio,6. 11. 2022 – 20.00
potencial golega odra – prvič,Samo Oleami,Ulična kritika,6. 11. 2022 – 18.00
"Moje ulice, šestindvajsetič: Saša Golobič",Špela Frlic,Špajza RŠ,5. 11. 2022 – 12.00
Fotografija malo drugače,Brina Jerko,Kulturni obzornik,4. 11. 2022 – 15.10
MLEKO NOČNIH MOR,Neža Urbiha,Fine umetnosti,4. 11. 2022 – 13.30
Show 918: Shadowside Of Sound (Worm),Kulturno uredništvo,Radia Network,3. 11. 2022 – 22.30
No Nut November,Lucija Ivanuša,Sektor Ž,3. 11. 2022 – 21.30
Glasba za film in glasba ob filmu,Oskar Ban Brejc,Kulturni obzornik,3. 11. 2022 – 15.00
Dokler naju smrt ne loči,Brina Jerko,Teater v eter,3. 11. 2022 – 13.30
Kjer nam bo zemlja najlažja ...,Iva Slosar,Kulturni obzornik,2. 11. 2022 – 15.00
"Repliciranje jugonostalgije, talbotipije in kalejdoskopije",Neža Vengust,Fine umetnosti,2. 11. 2022 – 13.30
Naj kaos porodi renesanso skupnosti,Tina Tomšič,Art-area,31. 10. 2022 – 23.00
»Zakaj smo sanjali malce dlje«,Metod Zupan,Cikel Jugofuturizem,31. 10. 2022 – 20.00
Čist bolana teorija 2: #iskrenost,Kulturno uredništvo,Teorema,30. 10. 2022 – 20.00
Sodobna južnoafriška proza III: Sindiwe Magona,Anja Zidar,Tu pa tam,30. 10. 2022 – 18.00
"Moje ulice, petindvajsetič: Marko Račič",Špela Frlic,Špajza RŠ,29. 10. 2022 – 18.00
Matter of mythology,Lara Pustinek Miočić,Kulturni obzornik,28. 10. 2022 – 15.10
"Deveti, pardon, drugi krog",Anonymous,Napihovanje,28. 10. 2022 – 13.30
Show 917: WurM IN WorM (Worm),Kulturno uredništvo,Radia Network,27. 10. 2022 – 22.30
"Moje ulice, štiriindvajsetič: Štefanija Rostohar",Špela Frlic,Špajza RŠ,27. 10. 2022 – 21.30
Neskončno stanje pripravljenosti,Lucija Klauž,Kulturni obzornik,27. 10. 2022 – 15.10
Nemška kvaliteta zdravi,Iva Slosar,Teater v eter,27. 10. 2022 – 13.30
Lisičja otvoritev opoldan v MGLC-ju,Neža Vengust,Kulturni obzornik,26. 10. 2022 – 15.10
Resničnost laži,Minka Jerala,Humanistika,26. 10. 2022 – 13.30
White out game,Michael C. Jumic,Leteči pilot,25. 10. 2022 – 21.00
Ograjena dolina reke Kolpe,Brina Jerko,Kulturni obzornik,25. 10. 2022 – 15.10
Do zadnjega diha,Iva Slosar,Teater v eter,25. 10. 2022 – 13.30
Posnetek posnetka,Matjaž Zorec,Objekt meseca,24. 10. 2022 – 23.00
Javno dobro in tipologija glitcha,Urška Škerl,Tipologije prostora,24. 10. 2022 – 20.00
Kaj imajo konji z Ljutomerom in devicami?,Maja Pongrac,Kulturni obzornik,24. 10. 2022 – 15.10
Ženske severa in juga,Valerija Intihar,Fine umetnosti,24. 10. 2022 – 13.30
