naslov,avtor,tip_oddaje,datum
On,Michael C. Jumic,Leteči pilot,18. 6. 2024 – 21.00
"Umeten kaos, umetelna podoba",Lenart Sušnik,Kinobar,18. 6. 2024 – 13.45
Oboroževanje spola,Lea Sande,Kosilo nekega molja,18. 6. 2024 – 13.15
rEDoRANGEyELLOWgREENbLUEiNDIGOvIOLET,William Blomstedt,Tube(son),17. 6. 2024 – 23.00
Kvirulje reprezentacije,Vanja Gajić,Temna zvezda,17. 6. 2024 – 20.00
Šamar novinarju je šamar vsem,Martin Pečan,Kulturni obzornik,17. 6. 2024 – 13.15
Motrenje odrskih Vizij,Samo Oleami,Ulična kritika,16. 6. 2024 – 18.00
Bulšihti tudi pri nas!,Marko Miočić,Kulturni obzornik,14. 6. 2024 – 13.15
Show 1002: Sasayaki O Kiitekudasai (Usmaradio),Kulturno uredništvo,Radia Network,13. 6. 2024 – 22.30
Let skozi sanje,Samo Oleami,Teater v eter,13. 6. 2024 – 13.15
Sistem je toksičen fotr,Neja Berger,Dlako z jezika,11. 6. 2024 – 13.15
Sonoscopia,Urška Savič,R A D A R,10. 6. 2024 – 23.00
Kdo se boji dramatike?,Varja Hrvatin,Teritorij teatra,10. 6. 2024 – 20.00
Od industrijske dediščine do uprizoritvenih prostorov,Samo Oleami,Repetitio,9. 6. 2024 – 20.00
Od rožnatega trikotnika do mavričnega samoroga,Metod Zupan,Objekt meseca,9. 6. 2024 – 18.00
Kino Otok se vrača,Lucija Klauž,Kulturni obzornik,7. 6. 2024 – 18.00
Kino Otok prihaja,Marko Miočić,Kulturni obzornik,7. 6. 2024 – 13.00
Njena kita je taki slej,Metod Zupan,Teater v eter,6. 6. 2024 – 13.45
»Talent« v narekovajih,Metod Zupan,Teater v eter,6. 6. 2024 – 13.15
"Teža polen, ki pritiska h koreninam",Nastja Virk,Kulturni obzornik,5. 6. 2024 – 13.15
Zadnje korekture,Uroš Mikanović,Hertz arhitektur,5. 6. 2024 – 0.05
American beauty,Michael C. Jumic,Leteči pilot,4. 6. 2024 – 21.00
Kaj sem tebi in kdo sem sebi,Andrea Zabric,Kosilo nekega molja,4. 6. 2024 – 13.15
